text,label
AKP Kapatildi,KJ METIN
CHP Kongresi Yapildi,KJ METIN
MHP Lideri Aciklama Yapti,KJ METIN
HDP Karari Aciklandi,KJ METIN
Akp Kapatildi Yerine Ahir Yaptilar,KJ METIN
Parti Kapatildi Haberi,KJ METIN
Kongre Toplandi Karar Cikti,KJ METIN
Meclis Tasarisi Onaylandi,KJ METIN
Bakan Istifa Etti,KJ METIN
Cumhurbaskani Aciklama Yapti,KJ METIN
Son Dakika Flas Haber,KJ METIN
Buyuk Operasyon Duzenlendi,KJ METIN
Feci Kaza Yasanmadi,KJ METIN
Trafik Kazasi Meydana Geldi,KJ METIN
Yangin Kontrol Altina Alindi,KJ METIN
Sel Uyarisi Yapildi,KJ METIN
Deprem Sonrasi Arama Suruyor,KJ METIN
Enflasyon Rakamlari Aciklandi,KJ METIN
Faiz Karari Duyuruldu,KJ METIN
Borsa Yukselisle Kapatti,KJ METIN
Dolar Rekor Kirdi,KJ METIN
Altin Fiyatlari Artti,KJ METIN
Maas Zamlari Belli Oldu,KJ METIN
Vergi Paketi Meclise Sunuldu,KJ METIN
Okullar Tatil Uzatildi Mi,KJ METIN
Asdasdsadsad Asdasdsadaskgjasga Asdasfakgsa,KJ METIN
Xyzabc Qwerty Zxcvbnm,KJ METIN
Rastgele Yazilmis Anlamsiz Metin,KJ METIN
Test Deneme Yazi Parcasi,KJ METIN
Emre Tutun Doktor,KJ ISIMLIK
Emre Tutun Avukat,KJ ISIMLIK
Emre Tutun Muhendis,KJ ISIMLIK
Emre Tutun Bakan,KJ ISIMLIK
Emre Tutun Vali,KJ ISIMLIK
Emre Tutun Uzman Dr.,KJ ISIMLIK
Ahmet Yilmaz Doktor,KJ ISIMLIK
Ayse Demir Avukat,KJ ISIMLIK
Mehmet Oz Prof. Dr.,KJ ISIMLIK
Fatma Sahin Diyetisyen,KJ ISIMLIK
Ali Yilmaz Teknik Direktor,KJ ISIMLIK
Doktor Emre Tutun,KJ ISIMLIK
Avukat Ayse Demir,KJ ISIMLIK
Bakan Hakan Fidan,KJ ISIMLIK
Vali Ali Yerlikaya,KJ ISIMLIK
Uzman Dr. Ayse Demir,KJ ISIMLIK
Prof. Dr. Ilber Ortayli,KJ ISIMLIK
Saglik Bakani Fahrettin Koca,KJ ISIMLIK
Gorgu Tanigi Mehmet Oz,KJ ISIMLIK
Belediye Baskani Ekrem Imamoglu,KJ ISIMLIK
Ankara,KJ YER
Istanbul,KJ YER
Izmir,KJ YER
Kadikoy Istanbul,KJ YER
Cankaya Ankara,KJ YER
Merkez Mahallesi Ankara,KJ YER
TBMM,KJ YER
Adliye,KJ YER
Olay Yeri,KJ YER
Washington,KJ YER
New York,KJ YER
Haber: Emre Tutun Kamera: Caner Tas,MUHABIR KAMERAMAN
Muhabir: Ayse Demir Kamera: Hakan Kaya,MUHABIR KAMERAMAN
Emre Tutun Caner Tas,MUHABIR KAMERAMAN
Ayse Demir Ali Veli,MUHABIR KAMERAMAN
Kamera: Hakan Kaya,MUHABIR KAMERAMAN
Haber: Buse Gulmez,MUHABIR KAMERAMAN
kapatildi,KJ METIN
operasyon duzenlendi,KJ METIN
son dakika aciklama,KJ METIN
rekor kirildi,KJ METIN
parti kongresi yapildi,KJ METIN
yerine ahır yaptilar,KJ METIN
yerine bina yapildi,KJ METIN
skandal patlak verdi,KJ METIN
karar aciklandi,KJ METIN
tutuklama yapildi,KJ METIN
gozaltina alindi,KJ METIN
yarali sayisi artti,KJ METIN
can kaybi yasandi,KJ METIN
guvenlik onlemi alindi,KJ METIN
arama kurtarma calismasi,KJ METIN
hava durumu uyarisi,KJ METIN
saganak yagis bekleniyor,KJ METIN
kar yagisi etkili,KJ METIN
sicak hava dalgasi,KJ METIN
don olaylari basladi,KJ METIN
esnaf tepki gosterdi,KJ METIN
sendika grev karari,KJ METIN
isci eylemi basladi,KJ METIN
fabrika yangini,KJ METIN
patlama meydana geldi,KJ METIN
silah ele gecirildi,KJ METIN
uyusturucu operasyonu,KJ METIN
dolandiricilik suphelisi,KJ METIN
cinayet zanlisi,KJ METIN
adliyeye sevk edildi,KJ METIN
mahkeme karari verildi,KJ METIN
yargitay onemli karar,KJ METIN
anayasa mahkemesi,KJ METIN
milletvekili aciklama,KJ METIN
bakan yardimcisi atandi,KJ METIN
kabine toplantisi yapildi,KJ METIN
dis politika aciklamasi,KJ METIN
yurt disi ziyaret,KJ METIN
diplomatik temaslar,KJ METIN
anlasma imzalandi,KJ METIN
protokol toreni,KJ METIN
zirve toplantisi,KJ METIN
avrupa birligi,KJ METIN
nato toplantisi,KJ METIN
birlesmis milletler,KJ METIN
goc krizi,KJ METIN
sinir guvenligi,KJ METIN
teror operasyonu,KJ METIN
siber saldiri,KJ METIN
veri ihlali,KJ METIN
yapay zeka,KJ METIN
teknoloji devi,KJ METIN
